Experiment ID,Date,Benchmark ID,Benchmark Version,Base System,Challenger System,Hypothesis / Objective,Primary Component Changed,From Version,To Version,What Changed,Recall@50,Recall@100,Precision@20,Gold in Top 10,Median Rank of Retrieved GOLD,Analyst Minutes,Model Cost USD,Guardrail / Side Effect,Learning,Decision,Notes
HIST-000,2026-09-12,BC001,0.1-provisional,,,Original analyst patentability search,Human baseline,,,"~12–15 queries across tools; ~2,000–3,000 patents/families reviewed",,,,,,~5 days,,Not a single-query retrieval baseline,Expert process baseline; query construction + review were bottlenecks,BASELINE,Historical human-process baseline
EXP-001,2026-09-12,BC001,0.1-provisional,,,Test LLM disclosure decomposition,Feature Extractor,raw,fe_v0.2_bc001_corrected,Claude E1–E16 + analyst corrections,,,,,,,,One hallucinated feature; exact F1–F8 not separately signed off,Useful decomposition after corrections; no time-saving proof,DIAGNOSTIC,Partially validated
EXP-002,2026-09-12,BC001,0.1-provisional,,,Test clarification-question generation,Feature Extractor,,,Five inventor questions generated,,,,,,,,Questions were unnecessary/non-blocking,Generic ambiguity generation added avoidable effort,REJECT,Rejected
EXP-003,2026-09-12,BC001,0.1-provisional,,,Capture analyst SOP and Orbit grammar,Search Controller,,sc_v0.0_analyst_sop_spec,Broad→narrow workflow; result bands; syntax/operator examples,,,,,,,,"Requirements captured, not implemented","Query planning is iterative control, not one Boolean string",DIAGNOSTIC,Requirements artifact
EXP-004,2026-09-12,BC001,0.1-provisional,,,Test 15-query staged portfolio,Query Planner,,qp_v0.1_ladder_rejected,Claude CB1–CB9 + 15-query ladder,,,,,,,,Unsupported syntax; proximity too wide; overused AND,Syntactic plausibility ≠ usable Orbit query,REJECT,Rejected
EXP-005,2026-09-12,BC001,0.1-provisional,,,Formulate focused Query B,Query Planner,qp_v0.1_ladder_rejected,qp_v0.2_query_b_baseline,Claude proposed 10D auth/control query,,,,,,,,Analyst rated weak; needed substantial repair,Main failure: breadth/morphology/Orbit expression,REJECT,Still source of first AI retrieval run
RUN-005A,2026-09-12,BC001,0.1-provisional,,,Execute initial Query B snapshot,Retrieval Adapter,,,"3,091-family FAMPAT run; described as 10D",,,,,,,,No ordered export preserved,Recovered 5/10 GOLD; historical diagnostic only,SUPERSEDED,"Keep separate from 3,238 rerun"
RUN-006,2026-09-13,BC001,0.1-provisional,,,Execute human Query A comparator,Retrieval Adapter,,,799 FAMPAT results; human-built query,,,,,,,,Field provenance inconsistent,Recovered 6/10 GOLD,BASELINE,Comparator only
EXP-007,2026-09-13,BC001,0.1-provisional,,,Compare Query A vs B overlap/recovery,Evaluation,,,"A∩B=142; A∪B=3,748",,,,,,,,Applies only to original snapshots,Union recovered 7/10 GOLD,DIAGNOSTIC,"Do not mix with 3,238 rerun"
EXP-008,2026-09-13,BC001,0.1-provisional,,,Test seed-patent-grounded terminology,Terminology Engine,generic,te_v0.3_seed_grounded_candidate,Extracted P1–P12 terms from seed patents,,,,,,,,No controlled retrieval run,Analyst preferred seed-patent terms over web/generic,DIAGNOSTIC,Best-supported terminology method; retrieval-unvalidated
EXP-009,2026-09-13,BC001,0.1-provisional,,,Test web-grounded terminology,Terminology Engine,generic,te_v0.2_web,Web-derived W1–W12 terms,,,,,,,,Several noisy/secondary terms,"Useful first-pass vocabulary, insufficient alone",DIAGNOSTIC,Not promoted
EXP-010,2026-09-13,BC001,0.1-provisional,,,Convert web terms into 5-query portfolio,Query Planner,,,Five Orbit-ready queries proposed,,,,,,,,Q1/Q2 major rebuild; syntax/proximity issues,More terms did not solve planning/syntax,REJECT,Rejected
EXP-011,2026-09-15,BC001,0.1-provisional,,,Test evidence-assisted review on 20 analyst-selected patents,Evidence Extractor,,ee_v0.1_fulltext_passage_assist,Full-text feature mapping + evidence citations,,,,,,10–15,,Only 5 patents analyst-validated,5/5 cited passages accepted; review time ~30 min → 10–15 min,PARTIALLY_VALIDATED,Most validated AI capability so far
RUN-012,2026-09-16,BC001,0.1-provisional,,,Create complete ordered reranking benchmark,Retrieval Adapter,,retrieval_v0.1_fampat_20260916_and_variant,"3,238-family FAMPAT export; AND variant",0.2,0.2,,,492,,,4 GOLD absent; differs from initial 10D snapshot,Full-set GOLD recovery 6/10,BASELINE,Current V0 retrieval baseline
EXP-013,2026-09-16,BC001,0.1-provisional,RUN-012,rs_v0.2_blind_ta_rerank,Test blind title/abstract reranking,Relevance Scorer,Orbit order,rs_v0.2_blind_ta_rerank,"Blind rerank of all 3,238 families",0.2,0.4,0.45,,90.5,N/A,,V0 top 20 not equivalently adjudicated; three analyst report-family pairs have different Questel FAN IDs; theft-triggered locking schema review pending,Recall@100 2/10→4/10; median retrieved-GOLD rank 492→90.5,HOLD,"PA-001 COMPLETED. HOLD / INCONCLUSIVE: V0 top 20 lacks equivalent adjudication. Newly adjudicated: 18 (7 Yes, 11 No), inclusion 7/18 = 38.9%. Publication Precision@20 incl. 2 GOLD: 9/20 = 45%. New analyst report groups: 15 (5 included, 10 excluded), yield 5/15 = 33.3%. Top-20 analyst report groups: 17 (7 included, 10 excluded), report-inclusion yield 7/17 = 41.2%. Net-new relevant-family yield and analyst minutes: N/A. Reconstructed mapping; unordered ranks 6/7 L/No ambiguity has no metric effect. No promotion."
EXP-014,2026-09-16,BC001,0.1-provisional,"RUN-012 Orbit ordering of the 3,238-family export",rs_v0.2_blind_ta_rerank,V1 finds at least two more analyst-includable unique report-family groups in the first 20 publication slots than V0 while passing both recall guardrails,Relevance Scorer,RUN-012 Orbit ordering,rs_v0.2_blind_ta_rerank (frozen EXP-013),ordering method; ranking evaluation; no model or system change,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"V1 Recall@50 >= V0 Recall@50; V1 Recall@100 > V0 Recall@100. All rankings, universe, ground truth and family policy fixed.",N/A pending adjudication,AWAITING_ADJUDICATION,"PROMOTE if V1 has >=2 more includable unique report-family groups and both recall guardrails pass; REJECT if V1 has fewer or violates either guardrail; HOLD if equal or one better (guardrails pass). 2 resolved, 18 unresolved; overlap 1; final metrics and review minutes N/A. No decision calculated."
EXP-015,2026-09-17,BC001,0.1-provisional,RUN-012 and intended same-session baseline,Controlled 2x2 structure / vocabulary,Record original feature-specific retrieval volume preflight,Query Planner / Search Controller,Current monolithic structure + current vocabulary,Original EXP-015 2x2 design,Analyst executed EXP015-015A-Q1/Q2; neither exported,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAMPAT; TI/AB/CLMS; family-level; unchanged benchmark; no additional filters,"Q1 23,935 families; Q2 493,993 families. Broad document-level AND failed operational volume preflight.",HOLD — DESIGN REVISION REQUIRED AFTER VOLUME PREFLIGHT,Remaining queries paused; baseline not rerun. All final metrics N/A. No component promotion or wholesale rejection. Screenshots external; not supplied.
EXP-016A,2026-09-17,BC001,0.1-provisional,EXP-013 on RUN-012,rs_v0.3_feature_aware_ta,Feature-aware title/abstract reranking of the fixed 3238-family universe,Relevance Scorer,rs_v0.2_blind_ta_rerank,rs_v0.3_feature_aware_ta,Deterministic feature/relationship extraction and approved scoring formula,0.2,0.3,N/A,N/A,142.5,N/A,N/A,Recall@20 1/10 fails 2/10 guardrail; Recall@200 3/10; median worsens >10%,D1: semantic extraction/relationship and domain-boundary failures; extraction/gating errors in 3/3 deteriorated GOLD. Pure numerical-weight failure not established.,REJECT,"Frozen before private evaluation. Six GOLD mappings exact in reconstructed key. Challenger only; CURRENT_SYSTEM unchanged. D1 post-hoc audit: penalty/cap contribution 2/3; title/abstract limits 2/3 (overlapping). See experiments/BC001/EXP-016A/diagnostics/root-cause-summary.md. Do not tune weights first or apply current extractor to full text. EXP-018 semantic/LLM title/abstract extraction proposed only; scoring formula, weights, benchmark, universe and input fixed. No rerank."
EXP-017A,2026-09-18,BC001,0.1-provisional,EXP-015 recorded Q1/Q2 AND baselines,Q1P / Q2P unordered 5D,Determine whether 5D reduces retrieval volume to a practically usable range,Query Planner / Search Controller,Cross-concept AND,Unordered 5D,Only firearm-to-feature operator changes; analyst manual Orbit counts pending,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAMPAT; TI/AB/CLMS; same vocabulary; no filters or expansion; no benchmark changes,Pending analyst volume preflight,AWAITING_ORBIT_PREFLIGHT,"Baselines: Q1 23,935; Q2 493,993 FAMPAT families. Counts only; no searches run at setup. See experiments/BC001/EXP-017A/."
