original_local_path,canonical_destination,sha256,artifact_type,associated_experiment_run,provenance_confidence,import_rationale
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\analyze.py,experiments/BC001/EXP-013/implementation/analyze.py,2fe9c6d8a4ddc4ba67d1dc3bb8e56aeedec00a27c14d7677e7413562412987d3,historical implementation evidence,EXP-013; RUN-012 upstream linkage unverified,High internal artifact linkage; incomplete upstream provenance,"Preserve recovered preprocessing, scoring annotations, or workbook construction unchanged; archival code, not analyst-approved or production logic."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\rank.py,experiments/BC001/EXP-013/implementation/rank.py,12562bb6bd9b6ef291487ea386b11f2fa78ada84c560fb9bc4478929ba12583a,historical implementation evidence,EXP-013; RUN-012 upstream linkage unverified,High internal artifact linkage; incomplete upstream provenance,"Preserve recovered preprocessing, scoring annotations, or workbook construction unchanged; archival code, not analyst-approved or production logic."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\build.mjs,experiments/BC001/EXP-013/implementation/build.mjs,02d35ec5568a105374cfddea6337d707e2e8bd0b00a50ad89bb70e4f500fa1f8,historical implementation evidence,EXP-013; RUN-012 upstream linkage unverified,High internal artifact linkage; incomplete upstream provenance,"Preserve recovered preprocessing, scoring annotations, or workbook construction unchanged; archival code, not analyst-approved or production logic."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\input.json,experiments/BC001/EXP-013/working-artifacts/input.json,3a2fd18a328cbd575d1cedd05017ce3bfef2c88c3afe15e145a861fa87dba508,historical working artifact,EXP-013; RUN-012 upstream linkage unverified,High internal content linkage; incomplete source chain,"Preserve prepared input, screening order, candidate references, or stored AI ranking; not raw Orbit export or analyst ground truth."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\screen.json,experiments/BC001/EXP-013/working-artifacts/screen.json,1af887f4760fe90514759cb468c0f692981b8b00efab05c4c8b4a42a57b54327,historical working artifact,EXP-013; RUN-012 upstream linkage unverified,High internal content linkage; incomplete source chain,"Preserve prepared input, screening order, candidate references, or stored AI ranking; not raw Orbit export or analyst ground truth."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\candidates.txt,experiments/BC001/EXP-013/working-artifacts/candidates.txt,1422abd22d6b08a6813f3505547183860ad4aea55c0b6c501e44c9c41a6c8c5a,historical working artifact,EXP-013; RUN-012 upstream linkage unverified,High internal content linkage; incomplete source chain,"Preserve prepared input, screening order, candidate references, or stored AI ranking; not raw Orbit export or analyst ground truth."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\bc001_work\ranked.json,experiments/BC001/EXP-013/working-artifacts/ranked.json,9180dc744677b819bd2204df00f6f5736184e1238221c4c1acd81ac4255e2529,historical working artifact,EXP-013; RUN-012 upstream linkage unverified,High internal content linkage; incomplete source chain,"Preserve prepared input, screening order, candidate references, or stored AI ranking; not raw Orbit export or analyst ground truth."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\outputs\bc001_v1\BC001_V1_Ranked_Output.xlsx,benchmarks/BC001-smartgun/reranking/v1/ranked-output.xlsx,4f5b50c3194970df04db2434b3c56f8ad5e87534944115fdd7191569d09c6f10,historical AI ranked output,EXP-013,High: workbook values reconciled to ranked.json; upstream source gap remains,Preserve full ranking and top-100 evidence named in canonical reconciliation; EXP-013 remains INCONCLUSIVE pending PA-001.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\CN111457785A.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/CN111457785A.html,39e5e6fde7dcc3925b1736e01c3cae906ce081bcb6375e5f66f8f454618e6c52,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\CN111457785A.body.txt,experiments/BC001/EXP-011/source-extracts/CN111457785A.body.txt,ee937bdfd0d42a446f35c9688d90fb1a6cca72c730770cbdc00b8d50c436bb63,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US10107579B2.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US10107579B2.html,92136ebcf0fe3d293480cd83c03292ee6d9965f4b990b3af111515f987d0c9f3,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US10107579B2.body.txt,experiments/BC001/EXP-011/source-extracts/US10107579B2.body.txt,5e153332c4d40edf0f0211e00eb5b35ffd44edcb8980f0070b3c62324801be12,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US10591237B1.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US10591237B1.html,def5d7877dcd7e0eee3fac7b43ac6effb0f878e614f69187a511bf238c466ca6,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US10591237B1.body.txt,experiments/BC001/EXP-011/source-extracts/US10591237B1.body.txt,8795eb6c4c6d220dd7e53704b3cef7e1ccb7291a6a0ee4ad2d08634f2df860d1,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US10996012B2.html,benchmarks/BC001-smartgun/sources/patents/google-patents/html/US10996012B2.html,3fe76c08eebe994e82081f28fc2978caf6b275469159b0e432307eef74cf1b73,raw saved Google Patents HTML,EXP-011-associated source collection (inferred),High publication identity; experiment use and capture history inferred,"Preserve saved source page separately from prepared extracts and AI outputs; embedded page URL/title identifies publication, not relevance."
C:\Users\shifi\OneDrive\Documents\ChatGPT\Patent Search automation\patent_sources\US10996012B2.body.txt,experiments/BC001/EXP-011/source-extracts/US10996012B2.body.txt,05bdae1811b378b3c7347fd3a10f79d1c69fa310d6bd85d4a112980f393d0c05,historical focused source-text extract,EXP-011-associated source collection (inferred),High content linkage to saved HTML; extraction and consumption history unknown,Preserve focused description/claims text; normalized nonblank lines were reconciled to corresponding HTML; not AI relevance labels.
