publication,analyst_label,include_in_report,adjudication_status,analyst_reason,analyst_family_statement,analyst_family_group,candidate_v1_ranks,candidate_record_ids,identity_reconciliation,questel_family_id,source_export_row,provenance
CN107578493A,M+,Yes,ADJUDICATED,data gathering and enhanced user experience missing.,,CN107578493A,1,BC001-0A3054B25A9B,UNIQUE_TITLE_ABSTRACT_MATCH,78461447,249,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN107421388A,M+,Yes,ADJUDICATED,same as CN107578493A.,,CN107421388A,2,BC001-9B3BD8859C72,UNIQUE_TITLE_ABSTRACT_MATCH,77960947,648,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN110822986A,M+,Yes,ADJUDICATED,automatic locking of the firearm is missing.,Analyst states CN110822986A and CN210718818U are family members and only one representative should appear in the client report.,analyst-group-1,3,BC001-234167E357A2,UNIQUE_TITLE_ABSTRACT_MATCH,87709259,466,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN210718818U,M+,Yes,ADJUDICATED,same as CN110822986A.,Analyst states CN110822986A and CN210718818U are family members and only one representative should appear in the client report.,analyst-group-1,4,BC001-5AB0C6231159,UNIQUE_TITLE_ABSTRACT_MATCH,89160010,292,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN206862203U,L,No,ADJUDICATED,firearm is electromagnetically locked and geofencing is missing; these are primary product features.,,CN206862203U,5,BC001-70E9C36BB296,UNIQUE_TITLE_ABSTRACT_MATCH,78341494,408,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
US9470485B1,L,No,ADJUDICATED,server/management-center data storage and theft-triggered automatic firearm locking are missing.,Analyst states US9470485B1 and US9891030B1 are family members.,analyst-group-2,6;7,BC001-C3791D5EE3E9;BC001-D3C36118E9E6,PAIR_MEMBERSHIP_CONFIRMED_EXACT_ASSIGNMENT_PENDING_PRIVATE_MAPPING,74453517,1064,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
US9891030B1,L,No,ADJUDICATED,same as US9470485B1.,Analyst states US9470485B1 and US9891030B1 are family members.,analyst-group-2,6;7,BC001-C3791D5EE3E9;BC001-D3C36118E9E6,PAIR_MEMBERSHIP_CONFIRMED_EXACT_ASSIGNMENT_PENDING_PRIVATE_MAPPING,78745238,1043,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
US20040099134A1,L,No,ADJUDICATED,"coordinates are used to determine weapon location, not to automatically restrict firearm operation; theft-triggered automatic locking is also missing.",,US20040099134A1,8,BC001-915BDE3552D6,UNIQUE_TITLE_ABSTRACT_MATCH,43393533,227,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN107764127A,H,Yes,ADJUDICATED,all relevant features covered.,Analyst states CN107764127A and CN207662266U are family members.,analyst-group-3,9,BC001-5E0CE61B9F95,UNIQUE_TITLE_ABSTRACT_MATCH,78965882,372,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN207662266U,H,Yes,ADJUDICATED,all relevant features covered.,Analyst states CN107764127A and CN207662266U are family members.,analyst-group-3,10,BC001-D9937732CD71,UNIQUE_TITLE_ABSTRACT_MATCH,80722199,400,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
CN207144670U,L,No,ADJUDICATED,location functionality and theft-triggered locking are missing.,,CN207144670U,11,BC001-BD70517802F2,UNIQUE_TITLE_ABSTRACT_MATCH,79213611,20,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
US20160054081A1,L,No,ADJUDICATED,location functionality and theft-triggered locking are missing.,,US20160054081A1,14,BC001-B5BE2EF6266D,UNIQUE_TITLE_ABSTRACT_MATCH,72266844,174,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
TR2023006305U5,L,No,ADJUDICATED,"biometric authorization is on the casing/holster, placing it outside the target invention’s scope.",,TR2023006305U5,16,BC001-0031124B24F1,UNIQUE_TITLE_ABSTRACT_MATCH,108860668,207,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
WO0186376A2,L,No,ADJUDICATED,geofencing and theft-triggered firearm locking are missing.,,WO0186376A2,20,BC001-769FDE70434C,UNIQUE_TITLE_ABSTRACT_MATCH,1546008,265,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
IN202511109936A,,,PENDING_FULL_TEXT,usable full text was unavailable.,,IN202511109936A,12,BC001-4A411F49C18E,UNIQUE_TITLE_ABSTRACT_MATCH,117261580,627,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
IN201931009978A,,,PENDING_FULL_TEXT,usable full text was unavailable.,,IN201931009978A,13,BC001-3321FBA07341,UNIQUE_TITLE_ABSTRACT_MATCH,88102343,974,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
IN202241014106A,,,PENDING_FULL_TEXT,usable full text was unavailable.,,IN202241014106A,18,BC001-62F8F4E8D123,UNIQUE_TITLE_ABSTRACT_MATCH,106662515,998,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
KZ6216U,,,PENDING_FULL_TEXT,usable full text was unavailable.,,KZ6216U,19,BC001-933E6016FD63,UNIQUE_TITLE_ABSTRACT_MATCH,119282218,2604,Analyst adjudication supplied by user; source export title/abstract matching; private mapping unavailable
