publication,analyst_label,include_in_report,adjudication_status,analyst_reason,analyst_family_statement,analyst_family_group,candidate_v1_ranks,candidate_record_ids,identity_reconciliation,questel_family_id,source_export_row,provenance,analyst_report_family_group_id,mapping_status,questel_family_id_fan
CN107578493A,M+,Yes,ADJUDICATED,data gathering and enhanced user experience missing.,,CN107578493A,1,BC001-0A3054B25A9B,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,78461447,249,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,CN107578493A,exact,78461447
CN107421388A,M+,Yes,ADJUDICATED,same as CN107578493A.,,CN107421388A,2,BC001-9B3BD8859C72,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,77960947,648,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,CN107421388A,exact,77960947
CN110822986A,M+,Yes,ADJUDICATED,automatic locking of the firearm is missing.,Analyst states CN110822986A and CN210718818U are family members and only one representative should appear in the client report.,analyst-group-1,3,BC001-234167E357A2,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,87709259,466,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,analyst-group-1,exact,87709259
CN210718818U,M+,Yes,ADJUDICATED,same as CN110822986A.,Analyst states CN110822986A and CN210718818U are family members and only one representative should appear in the client report.,analyst-group-1,4,BC001-5AB0C6231159,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,89160010,292,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,analyst-group-1,exact,89160010
CN206862203U,L,No,ADJUDICATED,firearm is electromagnetically locked and geofencing is missing; these are primary product features.,,CN206862203U,5,BC001-70E9C36BB296,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,78341494,408,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,CN206862203U,exact,78341494
US9470485B1,L,No,ADJUDICATED,server/management-center data storage and theft-triggered automatic firearm locking are missing.,Analyst states US9470485B1 and US9891030B1 are family members.,analyst-group-2,6;7,BC001-C3791D5EE3E9;BC001-D3C36118E9E6,RECONSTRUCTED_UNORDERED_IDENTICAL_CONTENT_SET,74453517,1064,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,analyst-group-2,ambiguous-identical-content,74453517
US9891030B1,L,No,ADJUDICATED,same as US9470485B1.,Analyst states US9470485B1 and US9891030B1 are family members.,analyst-group-2,6;7,BC001-C3791D5EE3E9;BC001-D3C36118E9E6,RECONSTRUCTED_UNORDERED_IDENTICAL_CONTENT_SET,78745238,1043,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,analyst-group-2,ambiguous-identical-content,78745238
US20040099134A1,L,No,ADJUDICATED,"coordinates are used to determine weapon location, not to automatically restrict firearm operation; theft-triggered automatic locking is also missing.",,US20040099134A1,8,BC001-915BDE3552D6,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,43393533,227,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,US20040099134A1,exact,43393533
CN107764127A,H,Yes,ADJUDICATED,all relevant features covered.,Analyst states CN107764127A and CN207662266U are family members.,analyst-group-3,9,BC001-5E0CE61B9F95,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,78965882,372,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,analyst-group-3,exact,78965882
CN207662266U,H,Yes,ADJUDICATED,all relevant features covered.,Analyst states CN107764127A and CN207662266U are family members.,analyst-group-3,10,BC001-D9937732CD71,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,80722199,400,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,analyst-group-3,exact,80722199
CN207144670U,L,No,ADJUDICATED,location functionality and theft-triggered locking are missing.,,CN207144670U,11,BC001-BD70517802F2,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,79213611,20,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,CN207144670U,exact,79213611
US20160054081A1,L,No,ADJUDICATED,location functionality and theft-triggered locking are missing.,,US20160054081A1,14,BC001-B5BE2EF6266D,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,72266844,174,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,US20160054081A1,exact,72266844
TR2023006305U5,L,No,ADJUDICATED,"biometric authorization is on the casing/holster, placing it outside the target invention’s scope.",,TR2023006305U5,16,BC001-0031124B24F1,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,108860668,207,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,TR2023006305U5,exact,108860668
WO0186376A2,L,No,ADJUDICATED,geofencing and theft-triggered firearm locking are missing.,,WO0186376A2,20,BC001-769FDE70434C,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,1546008,265,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,WO0186376A2,exact,1546008
IN202511109936A,L,No,ADJUDICATED,theft deterrence and GPS-based automatic locking missing.,,IN202511109936A,12,BC001-4A411F49C18E,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,117261580,627,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,IN202511109936A,exact,117261580
IN201931009978A,M+,Yes,ADJUDICATED,theft-triggered automatic locking missing.,,IN201931009978A,13,BC001-3321FBA07341,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,88102343,974,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,IN201931009978A,exact,88102343
IN202241014106A,L,No,ADJUDICATED,geofencing and theft-triggered automatic locking missing.,,IN202241014106A,18,BC001-62F8F4E8D123,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,106662515,998,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,IN202241014106A,exact,106662515
KZ6216U,L,No,ADJUDICATED,only abstract available; it establishes biometric authorization-based unlocking but not the remaining required features.,,KZ6216U,19,BC001-933E6016FD63,RECONSTRUCTED_NORMALIZED_EXACT_MATCH,119282218,2604,User-supplied analyst adjudication; post-experiment reconstructed evaluation mapping; original private key unavailable,KZ6216U,exact,119282218
